Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
N18-1960,16.75,19.48166667,48.72
N18-1961,14.31666667,22.045,41.91
N18-1962,15.23333333,22.19333333,45.43166667
N18-1963,17.28,22.125,45.77166667
N18-1964,16,19.89166667,48.09666667
N18-1965,17.7,21.35666667,47.645
N18-1966,15.08333333,21.10333333,47.13833333
N18-1967,18.13333333,22.39166667,43.83666667
N18-1968,19.68333333,22.34666667,44.55666667
N18-1969,16.88333333,22.22666667,44.47
N18-1970,17.03333333,21.80166667,45.30666667
N18-1971,15.01666667,20.85,48.275
N18-1972,16.93333333,20.89333333,46.09833333
N18-1973,19.04,23.13,44.55333333
N18-1974,17.85,22.06,44.53166667
N18-1975,14.83333333,23.36666667,43.05166667
N18-1977,16.9,19.59833333,48.43666667
N18-1978,17.08333333,21.835,45.58166667
N18-1979,14.5,20.58,47.07666667
N18-1980,16.36666667,21.88666667,44.56666667
N18-1981,14.83333333,20.275,48.47833333
N18-1982,17.16666667,22.515,45.19
N18-1983,16.06666667,23.22333333,42.815
N18-1984,15.81666667,22.52666667,43.56833333
N18-1985,17.23333333,21.09833333,47.46166667
N18-1986,15.25,21.45166667,47.79666667
N18-1987,18.56666667,21.42166667,43.595
N18-1988,16.83333333,20.58333333,48.33666667
N18-1990,15.93333333,22.23833333,45.02666667
N18-1991,19.3,20.15,48.03714286
N18-1992,18.48333333,21.87333333,46.05166667
N18-1993,15.95,22.81166667,42.97833333
N18-1994,14.78333333,22.085,44.83
N18-1995,16.16666667,22.94666667,41.595
N18-1996,17.28333333,21.645,44.86833333
N18-1997,16.31666667,22.54666667,44.04666667
N18-1998,15.26666667,21.85,43.45166667
N18-1999,17,20.065,49.25
N18-2000,17.48333333,23.56333333,42.68833333
N18-2001,17.48333333,21.03666667,45.75166667
N18-2002,17.01666667,22.20333333,43.88666667
N18-2003,15.3,23.14333333,41.63833333
N18-2004,14.9,21.225,47.065
N18-2005,14.38333333,21.83333333,44.70166667
N18-2006,16.28333333,21.99166667,47.07666667
N18-2007,16.91666667,23.59333333,42.82
N18-2008,14.93333333,21.65166667,42.66833333
N18-2009,16.6,22.22833333,44.58666667
N18-2011,16.21666667,20.95,47.74
N18-2012,13.75,21.42833333,45.72833333
N18-2013,17.2,22.87333333,41.61666667
N18-2014,16.76666667,21.57,45.99333333
N18-2015,14.88333333,20.79666667,46.19833333
