Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
N18-1641,15.9,21.82,44.29
N18-1642,19.25,20.58,47.7
N18-1643,16.5,21.28,45.13
N18-1644,14.55,21,45.565
N18-1645,14.1,19.47,48.49
N18-1646,12.55,19.075,48.455
N18-1647,17,19.515,46.53
N18-1649,16.75,19.1,49.22
N18-1650,15.7,20.25,46.515
N18-1651,16.65,20.525,47.97
N18-1652,12.75,19.865,46.82
N18-1655,17.2,19.785,49.255
N18-1656,15.75,19.865,47.165
N18-1658,15,19.815,48.09
N18-1659,15.65,20.3,48.195
N18-1661,16.15,22.22,43.545
N18-1663,16.2,20.15,47.105
N18-1664,15.05,19.865,47.17
N18-1665,16.25,21.47,44.855
N18-1666,16,20.405,48.06
N18-1667,17.85,21.565,44.96
N18-1668,17.15,18.825,51.275
N18-1669,14.95,21.705,44.27
N18-1671,16.15,20.825,48.185
N18-1672,17.3,20.33,46.065
N18-1673,17.15,19.755,50.085
N18-1674,15.3,21.605,45.285
N18-1675,15.1,19.565,48.945
N18-1676,15.25,20.755,47.205
N18-1677,17.1,20.335,48.37
N18-1678,14.15,21.31,43.665
N18-1679,19.95,20.535,48.93
N18-1680,16.6,19.975,48.48
N18-1681,18.05,20.495,46.05
N18-1684,17.6,21.68,45.35
N18-1685,17.45,22.365,46.085
N18-1686,16.35,21.895,45.755
N18-1687,14.85,20.425,46.26
N18-1688,15.85,21.465,45.055
N18-1689,12.6,19.435,48.68
N18-1690,16.7,19.8,45.975
N18-1691,13.9,21.135,45.975
N18-1693,16.35,19.16,48.365
N18-1694,17.6,21.885,44.04
N18-1695,13.4,21.17,45.695
N18-1696,15.15,19.815,48.025
N18-1697,15.9,19.015,49.19
N18-1698,16.15,19.71,48.56
N18-1699,15.75,20.305,48.185
N18-1700,15.95,20.965,46.6
N18-1701,16.55,20.085,49.58
N18-1703,17.25,21.56,44.43
N18-1704,14.75,19.82,48.835
N18-1705,15.1,19.865,47.055
N18-1706,19.6,20.705,47.425
N18-1707,15.9,20.805,45.815
N18-1708,16.2,20.685,46.115
N18-1709,16.25,20.735,46.155
N18-1710,16.55,20.07,47.525
N18-1711,16.25,21.215,46.56
N18-1714,19.1,21.555,45.655
N18-1715,15.2,22.125,44.63
N18-1716,15.7,20.61,46.8
N18-1718,15.85,20.48,46.54
N18-1719,14.75,21.4,45.81
N18-1720,14.8,20.37,47.94
N18-1722,16.35,19.43,50.705
N18-1723,16.55,19.25,49.35
N18-1724,14.2,20.29,46.83
N18-1725,15.45,21.1,46.1
N18-1726,16.05,20.965,48.935
N18-1727,15.45,20.32,48.215
N18-1729,18.15,19.67,50.78
N18-1730,14.75,19.72,48.79
N18-1731,17.6,21.095,45.985
N18-1732,16.1,21.68,46.33
N18-1733,15.8,20.415,46.455
N18-1734,13.8,20.47,47.09
N18-1735,14.7,19.68,49.195
N18-1736,16.05,20.465,48.13
N18-1737,17.3,19.665,48.895
N18-1738,14.55,20.055,48.275
N18-1741,18.7,18.45,51.65
N18-1745,14.35,20.515,46.035
N18-1748,14.95,20.06,45.805
N18-1749,13.65,19.99,47.245
N18-1750,14.2,20.975,46.37
N18-1751,16.15,20.51,45.9
N18-1752,16.25,18.59,48.48
N18-1753,17.3,20.96,46.76
N18-1755,16.55,19.56,48.465
N18-1756,15.8,20.28,46.875
N18-1757,14.15,20.535,44.88
N18-1758,16.75,20.385,47.305
N18-1759,14.3,19.72,48.115
N18-1760,18.05,18.95,49.385
N18-1761,15.6,20.49,48.57
N18-1762,17.05,19.78,49.42
N18-1763,14.4,20.185,47.45
N18-1764,14.3,20.695,47.795
N18-1765,18.05,21.06,46.54
N18-1766,16.9,20.56,47.09
N18-1767,16.65,19.79,48.035
N18-1768,15.6,21.795,43.935
N18-1769,15.5,19.81,48.67
N18-1771,14.9,19.985,47.435
N18-1772,14.3,19.545,47.22
N18-1773,16.35,20.7,44.045
N18-1774,14.2,21.23,43.25
N18-1776,14.4,19.25,48.33
N18-1777,13.95,20.295,45.16
N18-1780,15.9,20.48,47.24
N18-1781,16.7,19.265,47.135
N18-1782,17.4,20.915,45.49
N18-1783,15.25,20.215,47.765
N18-1784,15.65,20.175,47.22
N18-1785,14.35,19.26,48.14
N18-1786,16.55,19.075,47.91
N18-1787,15,18.94,48.115
N18-1788,16.25,19.485,48.52
N18-1789,17.4,20.43,46.85
N18-1790,13.3,20.93,44.995
N18-1791,14.7,19.965,46.715
N18-1792,15.95,19.465,49.455
N18-1793,14,18.74,48.74
N18-1794,14.6,19.22,47.945
N18-1795,15.1,20.565,45.745
N18-1797,14.6,20.755,44.755
N18-1798,15.9,20.145,47.59
N18-1799,15.45,19.845,45.895
N18-1800,17,20.105,47.525
N18-1801,15.1,20.605,46.295
N18-1802,13.8,19.32,46.78
N18-1803,14.05,20.7,44.545
N18-1804,15.9,19.675,47.11
N18-1805,14.1,20.295,45.115
N18-1806,15.4,19.66,48.945
N18-1807,15.8,20.44,46.68
N18-1808,16.15,21.09,46.2
N18-1809,15.7,20.205,47.595
N18-1810,14,19.815,46.675
N18-1811,16.05,20.99,45.035
N18-1812,14.65,19.53,48.52
N18-1813,14.6,21.085,46.765
N18-1814,13.5,20.45,47.47
N18-1816,14.85,20.52,47.71
N18-1817,17.3,19.38,48.74
N18-1818,14.5,19.355,47.835
N18-1819,15.55,20.18,45.995
N18-1820,14.6,21.125,44.98
N18-1821,15.6,21.005,45.195
N18-1822,15.65,19.43,48.81
N18-1823,18.3,20.61,45.555
N18-1824,14.6,20.95,46.555
N18-1825,16.3,20.68,47.095
N18-1826,14.75,21.445,44.635
LMN09-119,17.35,20.2,48.73
N09-09,16.43,21.17,46.21
