Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
N18-1559,14.75,19.77,48.175
N18-1560,16.75,20.17,47.055
N18-1561,15.8,20.135,47.11
N18-1562,19.15,20.805,47.18
N18-1563,13.95,19.79,48.43
N18-1564,17.5,21.71,44.74
N18-1565,17.35,19.725,50.045
N18-1567,14.45,19.81,46.65
N18-1568,16.45,19.305,49.015
N18-1569,14.9,20.66,46.135
N18-1570,14.6,20.55,47.71
N18-1571,17.1,19.175,49.2
N18-1572,17.45,21.25,45.91
N18-1575,19.5,21.035,49.45
N18-1576,16.4,21.395,45.47
N18-1577,15.9,20.395,49.315
N18-1578,15.8,20.24,47.935
N18-1579,13.7,20.37,45.67
N18-1580,15.65,20.695,45.205
N18-1581,16.7,19.285,47.54
N18-1582,16.2,21.54,45.68
N18-1585,14.75,20.155,46.5
N18-1586,15.65,21.18,47.26
N18-1587,14.85,20.25,46.535
N18-1588,17.6,20.16,47.165
N18-1596,17.85,20.395,46
N18-1597,15.35,21.96,45.22
N18-1598,16.75,21.475,46.17
N18-1600,14,20.735,45.935
N18-1602,15.6,19.71,47.8
N18-1603,15,20.25,47.495
N18-1604,16,20.74,47.53
N18-1605,15.55,20.06,47.885
N18-1606,15.35,21.2,45.725
N18-1607,15.6,20.145,49.13
N18-1608,14.3,20.42,46.385
N18-1609,16.5,21.14,48.585
N18-1610,16.5,21.08,46.195
N18-1611,17,19.745,48.875
N18-1612,17.2,20.245,47.535
N18-1613,18.15,20.075,47.03
N18-1614,15.9,18.905,48.745
N18-1615,18.35,21.55,45.56
N18-1616,16.75,20.385,46.28
N18-1617,13.85,18.975,48.18
N18-1619,18.35,20.175,47.655
N18-1620,15.5,20.92,46.225
N18-1621,16.6,19.45,48.355
N18-1622,14.75,20.65,45.015
N18-1623,15.55,19.905,48.32
N18-1624,13.65,20.565,45.33
N18-1626,16.2,20.14,48.945
N18-1627,17.3,21.305,45.9
N18-1628,14.8,20.2,48.865
N18-1629,17.4,19.78,48.645
N18-1630,16.15,19.455,48.28
N18-1631,17.05,19.795,48.87
N18-1632,15.65,20.94,47.665
N18-1633,17.3,19.89,47.94
N18-1634,16,20.19,46.575
N18-1635,17.95,21.77,44.86
N18-1636,16.15,20.315,48.59
N18-1637,14.65,20.865,43.975
N18-1638,16.05,19.205,48.985
N18-1639,17.55,19.655,50.23
N18-1640,17.9,19.755,48.55
