"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"N18-1635",17.3999999999992,22.459999999999,43.6799999999958
"N18-1636",15.8499999999992,21.039999999999,47.2499999999958
"N18-1637",17.0499999999992,22.089999999999,43.8549999999958
"N18-1638",15.5499999999992,20.424999999999,47.2699999999958
"N18-1639",20.1999999999992,19.589999999999,50.9149999999958
"N18-1640",14.0499999999992,20.589999999999,47.0099999999958
"N18-1641",17.0499999999992,22.794999999999,42.6549999999958
"N18-1642",19.2499999999992,19.519999999999,47.6949999999958
"N18-1643",15.8999999999992,22.744999999999,43.5049999999958
"N18-1644",15.4499999999992,21.959999999999,45.0449999999958
"N18-1645",14.9499999999992,21.154999999999,46.0699999999958
"N18-1646",16.3499999999992,20.899999999999,46.0699999999958
"N18-1647",18.4499999999992,19.304999999999,47.5949999999958
"N18-1649",16.1499999999992,18.804999999999,49.1899999999958
"N18-1650",15.7499999999992,21.624999999999,45.4849999999958
"N18-1651",16.0999999999992,21.494999999999,46.6249999999958
"N18-1652",13.3999999999992,20.354999999999,46.6849999999958
"N18-1655",15.0999999999992,20.824999999999,45.9699999999958
"N18-1656",16.3999999999992,20.344999999999,47.1949999999958
"N18-1658",13.7499999999992,20.909999999999,45.3099999999958
"N18-1659",13.6999999999992,21.889999999999,46.0249999999958
"N18-1661",14.7499999999992,24.054999999999,40.7249999999958
"N18-1663",16.9999999999992,21.109999999999,45.6149999999958
"N18-1664",12.9999999999992,21.689999999999,43.3049999999958
"N18-1665",15.1499999999992,22.674999999999,41.3549999999958
"N18-1666",15.7999999999992,21.504999999999,46.1599999999958
"N18-1667",20.6999999999992,22.109999999999,45.2949999999958
"N18-1668",17.4499999999992,19.264999999999,50.4699999999958
"N18-1669",16.7499999999992,22.884999999999,42.1799999999958
"N18-1671",15.8999999999992,21.974999999999,46.5049999999958
"N18-1672",16.1999999999992,20.964999999999,46.0099999999958
"N18-1673",15.3499999999992,20.494999999999,49.5199999999958
"N18-1674",17.0499999999992,21.824999999999,44.6949999999958
"N18-1675",15.2999999999992,20.299999999999,45.7299999999958
"N18-1676",13.3999999999992,21.059999999999,45.8749999999958
"N18-1677",16.2499999999992,21.664999999999,47.3449999999958
"N18-1678",15.9999999999992,22.299999999999,43.2099999999958
"N18-1679",20.8999999999992,21.169999999999,48.0249999999958
"N18-1680",16.6999999999992,21.364999999999,46.7099999999958
"N18-1681",17.1999999999992,22.029999999999,43.7299999999958
"N18-1684",16.7499999999992,23.234999999999,43.9849999999958
"N18-1685",17.7499999999992,22.444999999999,45.4399999999958
"N18-1686",19.4999999999992,22.219999999999,45.4499999999958
"N18-1687",19.4499999999992,20.379999999999,46.3199999999958
"N18-1688",16.7999999999992,21.154999999999,45.4349999999958
"N18-1689",15.9499999999992,21.154999999999,47.4099999999958
"N18-1690",18.1499999999992,21.274999999999,45.8649999999958
"N18-1691",16.6999999999992,21.989999999999,44.4449999999958
"N18-1693",14.7499999999992,21.159999999999,44.8099999999958
"N18-1694",15.5999999999992,22.999999999999,41.8649999999958
"N18-1695",12.1999999999992,22.809999999999,43.6849999999958
"N18-1696",17.4499999999992,21.539999999999,45.4249999999958
"N18-1697",18.9499999999992,19.859999999999,49.2949999999958
"N18-1698",17.9499999999992,19.434999999999,48.9849999999958
"N18-1699",15.9499999999992,21.119999999999,46.7749999999958
"N18-1700",17.7499999999992,21.659999999999,46.3049999999958
"N18-1701",15.0499999999992,21.104999999999,47.1699999999958
"N18-1703",15.8499999999992,23.704999999999,42.7349999999958
"N18-1704",13.5999999999992,21.409999999999,43.9999999999958
"N18-1705",13.5999999999992,22.279999999999,44.1949999999958
"N18-1706",20.2499999999992,22.709999999999,44.1149999999958
"N18-1707",16.0999999999992,22.284999999999,44.4949999999958
"N18-1708",16.2499999999992,20.339999999999,46.1449999999958
"N18-1709",15.4499999999992,22.464999999999,43.4549999999958
"N18-1710",17.4999999999992,21.464999999999,45.9299999999958
"N18-1711",14.3999999999992,22.064999999999,43.0949999999958
"N18-1714",19.3999999999992,21.914999999999,45.5399999999958
"N18-1715",16.1999999999992,23.374999999999,43.2749999999958
"N18-1716",16.3999999999992,20.699999999999,45.5649999999958
"N18-1718",16.6499999999992,22.174999999999,44.2649999999958
"N18-1719",14.7499999999992,22.609999999999,44.3049999999958
"N18-1720",18.0999999999992,21.459999999999,46.6249999999958
"N18-1722",16.3999999999992,22.544999999999,45.2049999999958
"N18-1723",18.7499999999992,21.119999999999,46.0749999999958
"N18-1724",14.6499999999992,22.364999999999,43.4599999999958
"N18-1725",17.2999999999992,21.969999999999,45.2799999999958
"N18-1726",14.1999999999992,20.144999999999,49.2649999999958
"N18-1727",13.7999999999992,20.459999999999,46.1349999999958
"N18-1729",18.7499999999992,19.089999999999,51.0799999999958
"N18-1730",14.6999999999992,21.109999999999,45.5149999999958
"N18-1731",18.4999999999992,22.314999999999,43.6849999999958
"N18-1732",18.5999999999992,22.244999999999,45.2249999999958
"N18-1733",14.6999999999992,22.719999999999,42.9899999999958
