"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"CB-318",19.1500000000018,22.4766870245521,46.5580990549664
"CB-346",20.7,22.2116870245518,45.4330990549683
"CB-351",18.3,21.7916870245518,46.7280990549683
"CB-372",17.6,21.9566870245518,46.2980990549683
"CB-383",17.3,21.0416870245518,45.6630990549683
"CB-406",15.25,22.5516870245518,45.7630990549683
"CB-421",19.85,23.0266870245518,44.7730990549683
"CB-423",16.6,20.7566870245518,49.2130990549683
"CB-425",19.15,20.4516870245518,49.3730990549683
"CB-429",19.1,20.5766870245518,48.6180990549683
"CB-430",16.8,21.8416870245518,44.7680990549683
"CB-433",19.1,22.5116870245518,45.9530990549683
"CB-436",16.75,22.2366870245518,47.2130990549683
"CB-443",15.25,22.2216870245518,47.2930990549683
"CB-446",17.4,21.4816870245518,48.0980990549683
"CB-448",16.8,20.4566870245518,48.6280990549683
"CB-472",14.95,21.4766870245518,48.3830990549683
"CB-491",16.75,22.7966870245518,43.8780990549683
"CB-511",18.35,23.1766870245518,42.3180990549683
"CB-512",17.25,22.2816870245518,46.0630990549683
"CB-521",19.4,21.2766870245518,48.3980990549683
"CB-534",14.85,19.3766870245518,48.5730990549683
"CB-541",18.3,23.7816870245518,44.0730990549683
"LMN09-19",19,20.0341870245518,49.6680990549683
"N13-47",16.075,24.9216870245518,39.1630990549683
"N18-1831",18.6,21.2566870245518,46.4780990549683
"N18-1832",19.55,22.8866870245518,43.3580990549683
"N18-1833",20.25,23.0166870245518,46.2930990549683
"N18-1834",16.6,23.6066870245518,44.9630990549683
"N18-1835",17.4,22.8866870245518,45.8280990549683
"N18-1836",17.1,21.3566870245518,45.4830990549683
"N18-1837",19.4,22.6866870245518,44.0330990549683
"N18-1838",16.35,21.7616870245518,46.3680990549683
"N18-1839",11.65,22.7616870245518,43.9630990549683
"N18-1840",16.7,24.5466870245518,42.7580990549683
"N18-1841",20.35,22.7666870245518,42.1180990549683
"N18-1842",19.5,21.6216870245518,45.5580990549683
"N18-1843",19.05,21.8966870245518,47.6680990549683
"N18-1844",18.7,23.8166870245518,43.1630990549683
"N18-1845",18.4,21.0266870245518,46.8830990549683
"N18-1846",17.15,22.1416870245518,42.5230990549683
"N18-1847",17.15,22.0116870245518,45.4980990549683
"N18-1848",22.5,23.5016870245518,42.6180990549683
"N18-1849",16.95,21.5316870245518,43.3080990549683
"N18-1850",14.75,22.3366870245518,44.2280990549683
"N18-1851",16.3,21.3516870245518,45.1530990549683
"N18-1853",17.25,20.7416870245518,48.7880990549683
"N18-1854",19.45,21.9416870245518,46.7230990549683
"N18-1855",19.9,22.2166870245518,46.8480990549683
"N18-1856",18,20.6116870245518,47.7680990549683
"N18-1857",18.85,23.4866870245518,44.2530990549683
