Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
N18-1694,16.3,22.37,42.77
N18-1695,12.23333333,22.51666667,42.33833333
N18-1696,16.2,21.235,45.49833333
N18-1697,15.96666667,20.38833333,46.31333333
N18-1698,16.33333333,19.79333333,48.11333333
N18-1699,15.6,20.855,47.12833333
N18-1700,16.05,21.96,45.00333333
N18-1701,15.46666667,20.75333333,48.13833333
N18-1703,15.48333333,22.915,42.84166667
N18-1704,14.15,20.43166667,46.46666667
N18-1705,14.03333333,21.37333333,44.84333333
N18-1706,18.95,22.455,43.52333333
N18-1707,15.88333333,21.57666667,44.97
N18-1708,15.9,21.02666667,45.22166667
N18-1709,15.41666667,21.605,44.34833333
N18-1710,15.83333333,21.34166667,44.39333333
N18-1711,14.85,21.76333333,44.585
N18-1714,17.88333333,22.55666667,42.7
N18-1715,15.41666667,23.05,43.22
N18-1716,16.51666667,20.63333333,45.75833333
N18-1718,15.71666667,21.53,44.41333333
N18-1719,14.45,21.795,45.385
N18-1720,15.86666667,21.53166667,45.06833333
N18-1722,15.68333333,21.37833333,46.29666667
N18-1723,16.78333333,20.32833333,46.965
N18-1724,14.31666667,21.35666667,44.97166667
N18-1725,15.71666667,22.5,43.3
N18-1726,14.38333333,21.28166667,47.46666667
N18-1727,14.45,20.68833333,46.14666667
N18-1729,17.71666667,19.58333333,50.18
N18-1730,14.9,21.00166667,45.67166667
N18-1731,17.83333333,21.95,44.62
N18-1732,17.53333333,22.22666667,45.13833333
N18-1733,14.56666667,21.87666667,43.94333333
N18-1734,14.03333333,21.38333333,45.38
N18-1735,13.18333333,21.53166667,44.58333333
N18-1736,15.15,21.20666667,46.65666667
N18-1737,15.76666667,20.63166667,47.16
N18-1738,14.48333333,20.62,46.035
N18-1741,17.08333333,19.885,48.20166667
N18-1745,15.4,21.265,44.99666667
N18-1748,14.43333333,20.89,44.965
N18-1749,13.25,21.8,42.22666667
N18-1750,13.325,21.55,45.2125
N18-1751,16.26666667,21.67666667,44.33
N18-1752,15.33333333,20.45833333,45.21833333
N18-1753,18.06666667,22.015,45.33166667
N18-1755,15.81666667,20.86833333,46.21333333
N18-1756,14.71666667,20.675,46.035
N18-1757,14.66666667,21.505,43.51833333
N18-1758,16.75,21.46333333,45.79
N18-1759,13.21666667,21.44666667,44.09833333
N18-1760,18.16666667,19.29166667,49.01
N18-1761,15.28333333,20.79166667,48.32833333
N18-1762,16.38333333,20.82833333,47.06
N18-1763,14.76666667,20.80666667,46.71166667
N18-1764,13.9,20.85,46.58
N18-1765,17.03333333,21.71666667,44.46333333
N18-1766,16.96666667,21.21666667,45.565
N18-1767,17.75,20.37166667,47.43166667
N18-1768,15.7,23.27666667,41.68
N18-1769,14.81666667,20.74166667,47.24
N18-1771,14.95,21.23666667,45.67666667
N18-1772,14.48333333,20.58333333,45.75833333
N18-1773,15.38333333,21.40666667,43.19666667
N18-1774,15.25,21.305,43.77166667
N18-1776,14.03333333,21.23166667,45.44
N18-1777,15.25,21.03333333,44.25666667
N18-1780,17.08333333,21.79333333,45.21666667
N18-1781,16.25,21.43,43.77
N18-1782,17.9,22.075,44.33666667
N18-1783,14.76666667,21.47,45.935
N18-1784,15.33333333,21.34833333,44.63
N18-1785,15.01666667,20.40333333,46.89833333
N18-1786,15.28333333,20.22333333,45.42166667
N18-1787,13.88333333,20.72666667,44.925
N18-1788,16.61666667,21.30666667,45.5
N18-1789,17.2,21.43166667,44.015
N18-1790,14.26666667,21.64,43.84
N18-1791,14.53333333,22.22166667,43.155
N18-1792,16.51666667,20.51333333,48.11333333
N18-1793,14.18333333,20.09333333,46.75
N18-1794,14.11666667,20.50833333,45.74166667
N18-1795,15.18333333,21.53166667,44.435
N18-1797,15.51666667,21.725,44.01666667
N18-1798,15.48333333,21.72666667,44.84333333
N18-1799,17.06666667,21.12166667,44.335
N18-1800,18.11666667,20.84833333,45.85666667
N18-1801,16.53333333,22.245,44.715
N18-1802,13.66666667,19.69,46.305
N18-1803,13.93333333,21.42333333,43.90166667
N18-1804,15.76666667,20.51833333,45.87333333
N18-1805,15.3,21.23333333,44.71
N18-1806,16.1,20.00166667,48.135
N18-1807,15.88333333,21.60166667,44.98833333
N18-1808,15.63333333,21.925,44.38666667
N18-1809,14.48333333,21.45333333,45.34333333
N18-1810,14.15,20.32,46.08
N18-1811,16.3,21.80833333,43.575
N18-1812,14.8,20.68,46.17833333
N18-1813,14.63333333,22.93333333,42.94
N18-1814,12.96666667,21.29333333,45.39
N18-1816,14.98333333,21.52166667,45.065
N18-1817,17.1,20.29166667,47.365
N18-1818,14.65,19.66,47.66666667
N18-1819,16.83333333,21.08333333,45.01833333
N18-1820,15.7,22.36166667,43.45
N18-1821,16.55,21.60333333,44.435
N18-1822,16.93333333,19.66,48.37666667
N18-1823,18.45,21.45333333,44.62666667
N18-1824,16.23333333,21.50166667,45.415
N18-1825,16.08333333,22.06833333,44.72666667
N18-1826,16.06666667,22.265,43.89833333
