Genotype,Hundred.Seed.Weight,Oil.Dry.basis,Protein.Dry.basis
LMN09-119,17.4,20.3,48.8
N09-09,16.5,21.3,46.2
N18-1559,13.48333333,20.635,46.42666667
N18-1560,15.18333333,21.31166667,42.96333333
N18-1561,15.63333333,21.25333333,45.345
N18-1562,18.45,21.68833333,45.35
N18-1563,13.46666667,21,46.16333333
N18-1564,16.36666667,22.77833333,42.59833333
N18-1565,16.9,20.815,47.21
N18-1567,13.65,21.24666667,43.35666667
N18-1568,15.41666667,21.17166667,46.14666667
N18-1569,14.08333333,21.755,44.03
N18-1570,14.83333333,21.06666667,46.13833333
N18-1571,16,20.44,46.18333333
N18-1572,17.11666667,22.32666667,44.45166667
N18-1575,18.53333333,21.52833333,47.8
N18-1576,16.43333333,22.14666667,44.05
N18-1577,15.26666667,20.88166667,47.8
N18-1578,15.1,20.72,46.58
N18-1579,15.18333333,21.71333333,44.19833333
N18-1580,14.86666667,22.27,41.795
N18-1581,16.35,21.15333333,44.255
N18-1582,16.53333333,21.17166667,46.21666667
N18-1585,16.05,21.71833333,43.81
N18-1586,14.45,21.67833333,45.665
N18-1587,14.41666667,20.99333333,44.71833333
N18-1588,17.01666667,21.835,44.33333333
N18-1596,16.65,21.11666667,44.35833333
N18-1597,15.7,22.655,43.44333333
N18-1598,17.38333333,21.94333333,44.985
N18-1600,13.1,21.40333333,44
N18-1602,15.28333333,21.08666667,45.24333333
N18-1603,14.98333333,21.55,44.11
N18-1604,16.88333333,22.17666667,44.66166667
N18-1605,15.68333333,22.05,44.19833333
N18-1606,15.2,21.98333333,43.90666667
N18-1607,14.58333333,20.75833333,46.93
N18-1608,14.78333333,21.22833333,44.09666667
N18-1609,16.01666667,22.92,44.58333333
N18-1610,16.35,21.71333333,44.81166667
N18-1611,15.18333333,21.07666667,45.24833333
N18-1612,15.5,21.38,44.91833333
N18-1613,17,20.68666667,45.42
N18-1614,15.06666667,20.05833333,46.59333333
N18-1615,17.48333333,22.27166667,44.39166667
N18-1616,15.23333333,22.03333333,42.905
N18-1617,13.8,20.83833333,45.18166667
N18-1619,16.93333333,20.83333333,45.34666667
N18-1620,15.48333333,22.03333333,43.79333333
N18-1621,16.51666667,19.44166667,47.68166667
N18-1622,14.7,21.91333333,43.26
N18-1623,14.76666667,21.01666667,45.155
N18-1624,12.91666667,22.28666667,42.87833333
N18-1626,15.58333333,20.09666667,48.55666667
N18-1627,16.5,22.07,44.82833333
N18-1628,14.7,20.43,48.69833333
N18-1629,17.55,19.85333333,48.03
N18-1630,16.68333333,20.27,46.76833333
N18-1631,16.63333333,21.2,45.86666667
N18-1632,15.65,21.89333333,45.96666667
N18-1633,16.93333333,20.744,45.862
N18-1634,16.28333333,21.92333333,43.175
N18-1635,17.2,22.325,43.94666667
N18-1636,15.68333333,21.00666667,46.99833333
N18-1637,14.46666667,22.39666667,40.67666667
N18-1638,14.73333333,20.865,44.94833333
N18-1639,17.85,20.25166667,48.64
N18-1640,15.03333333,20.85166667,45.68
N18-1641,16.1,22.43333333,43.29833333
N18-1642,18.35,20.705,46.37333333
N18-1643,15.83333333,22.215,43.83333333
N18-1644,13.8,22.12166667,43.065
N18-1645,14.31666667,20.47833333,46.80833333
N18-1646,14.5,20.37833333,46.04666667
N18-1647,17.26666667,19.88666667,45.84
N18-1649,16.56666667,19.25833333,48.20333333
N18-1650,15.28333333,21.12833333,45.315
N18-1651,15.05,21.81333333,44.31833333
N18-1652,12.48333333,20.73,44.705
N18-1655,15.75,20.165,47.82833333
N18-1656,15.4,20.415,45.73666667
N18-1658,13.31666667,20.51833333,45.48333333
N18-1659,14.6,20.90666667,47.40166667
N18-1661,15.15,23.04166667,42.44166667
N18-1663,16.41666667,20.55,46.395
N18-1664,13.71666667,20.80166667,45.06833333
N18-1665,15.43333333,22.22333333,42.99666667
N18-1666,14.88333333,21.58,45.55
N18-1667,17.95,22.42333333,43.31
N18-1668,16.45,19.43833333,49.57166667
N18-1669,15.76666667,22.215,43.155
N18-1671,16,21.47333333,46.90166667
N18-1672,15.6,21.48666667,43.99
N18-1673,14.48333333,21.27166667,46.41333333
N18-1674,15.83333333,21.92666667,44.72833333
N18-1675,15.35,20.08,47.11666667
N18-1676,14.01666667,20.59833333,46.50666667
N18-1677,16.2,21.385,46.98333333
N18-1678,14.61666667,21.88666667,42.87333333
N18-1679,19.58333333,21.21166667,47.39333333
N18-1680,15.03333333,21.635,45.07333333
N18-1681,17.21666667,21.205,44.83833333
N18-1684,16.68333333,22.475,44.27333333
N18-1685,15.9,23.34,42.46666667
N18-1686,16.93333333,22.34166667,44.54333333
N18-1687,17.33333333,20.65666667,45.66666667
N18-1688,16.08333333,21.48,45.06333333
N18-1689,13.76666667,20.83333333,46.27833333
N18-1690,16.5,21.13,44.36666667
N18-1691,15.53333333,21.755,44.505
N18-1693,15.43333333,20.405,45.83333333
