"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"N18-1889",16.75,21.4019081610372,48.0850988199043
"N18-1890",17.85,21.8069081610372,45.0850988199043
"N18-1891",20,20.5519081610372,48.2000988199043
"N18-1892",16.3,22.3319081610372,43.7650988199043
"N18-1893",17.1,22.6719081610372,43.1350988199043
"N18-1894",15.2,23.0769081610372,44.1850988199043
"N18-1895",17.85,23.6019081610372,44.0050988199043
"N18-1896",13.7,24.1969081610372,38.4400988199043
"N18-1897",17.25,22.2019081610372,46.2550988199043
"N18-1898",14.55,24.4069081610372,40.7450988199043
"N18-1899",17.45,18.7269081610372,50.2600988199043
"N18-1900",16.65,22.7719081610372,42.9100988199043
"N18-1901",18.15,23.6469081610372,42.5700988199043
"N18-1902",20,21.5719081610372,46.7650988199043
"N18-1903",17.45,20.6269081610372,47.4450988199043
"N18-1904",17.25,22.2619081610372,44.0050988199043
"N18-1905",18,24.9869081610372,43.0900988199043
"N18-1906",16.8,22.9869081610372,44.0500988199043
"N18-1907",15.2,21.7069081610372,43.9100988199043
"N18-1908",18.05,22.7769081610372,44.3000988199043
"N18-1909",15.7,25.7619081610372,36.4500988199043
"N18-1910",18.5,22.1419081610372,44.9750988199043
"N18-1911",16.35,21.3969081610372,47.3850988199043
"N18-1912",14.4,24.2719081610372,40.3350988199044
"N18-1913",16.3,22.4219081610372,44.8550988199043
"N18-1914",16.55,23.2919081610372,41.7400988199043
"N18-1915",16.15,22.6619081610372,43.9450988199044
"N18-1916",17.85,22.3669081610372,44.2750988199043
"N18-1917",15.75,24.3869081610372,39.8000988199043
"N18-1918",17.95,22.3069081610372,43.2000988199043
"N18-1919",17.4,20.0919081610372,48.2850988199043
"N18-1920",14.2,24.0119081610372,39.6700988199043
"N18-1921",15.75,20.9469081610372,47.2450988199043
"N18-1922",15.25,22.2569081610372,44.0800988199044
"N18-1923",16.25,22.9219081610372,43.9450988199043
"N18-1924",16.75,21.7919081610372,45.5650988199043
"N18-1925",15.8,23.3019081610372,43.3100988199043
"N18-1926",15.8,23.2519081610372,42.7050988199043
"N18-1927",19.45,22.9769081610372,44.2600988199043
"N18-1928",13.9,24.8019081610372,37.9200988199043
"N18-1929",16.55,21.5969081610372,46.8650988199043
"N18-1930",17.5,23.2119081610372,41.3500988199044
"N18-1931",15.8,22.1019081610372,45.7300988199043
"N18-1932",19.85,22.8169081610372,44.8550988199043
"N18-1933",15.3,21.9519081610372,43.8650988199044
"N18-1934",17.4,23.5969081610372,42.4050988199043
"N18-1936",17.1,22.9519081610372,44.6750988199043
"N18-1937",17.45,20.6669081610372,47.3600988199043
"N18-1939",16.6,21.5769081610372,45.4050988199043
"N18-1941",14.7,23.9069081610372,40.2700988199044
"N18-1942",12.55,23.6269081610372,40.6350988199043
"N18-1944",13.2,21.2019081610372,46.1650988199043
"N18-1945",14.4,23.1769081610372,42.6850988199043
"N18-1946",12.15,22.8119081610372,45.2250988199044
"N18-1947",13.95,24.4719081610372,40.6250988199043
"N18-1948",18.45,20.3319081610372,49.1050988199043
"N18-1949",14.7,23.9769081610372,42.6300988199043
"N18-1950",17.25,23.5569081610372,43.6600988199043
"N18-1951",16.5,22.9719081610372,45.5100988199043
"N18-1952",13.2,24.3069081610372,41.1350988199043
"N18-1953",19.35,21.5219081610372,45.5900988199043
"N18-1954",15.2,24.5469081610372,37.1100988199044
"N18-1955",14.15,25.1019081610372,38.7350988199043
"N18-1956",16.4,24.0919081610372,42.2750988199044
"N18-1957",16.75,23.1269081610372,41.5900988199043
"N18-1958",14.45,21.6519081610372,45.8650988199043
"N18-1959",16.3,20.3519081610372,48.1200988199043
"N18-1960",16.9,19.3119081610372,49.1150988199044
"N18-1961",12.95,23.2619081610372,38.4100988199043
"N18-1962",14.55,22.8819081610372,44.3700988199043
"N18-1963",17.1085797419016,22.2369081610372,45.5850988199044
"N18-1964",16.35,21.1519081610372,45.9250988199043
"N18-1965",17.15,22.1919081610372,46.7000988199043
"N18-1966",13.7,21.9069081610372,46.4900988199043
"N18-1967",16.75,23.7269081610372,42.4100988199043
"N18-1968",19.3,23.6919081610372,43.2700988199043
"N18-1969",16.4,24.4869081610372,39.5900988199043
"N18-1970",16.2,22.8619081610372,44.2400988199044
"N18-1971",14.9,21.5919081610372,47.5200988199043
"N18-1972",17.6,21.5819081610372,45.5900988199043
"N18-1973",18.5914202580985,23.8419081610372,43.2850988199043
"N18-1974",19.15,23.8169081610372,42.1900988199043
"N18-1975",13.75,25.0769081610372,38.7350988199043
"N18-1977",19,21.0869081610372,46.8150988199043
"N18-1978",17.1,22.7219081610372,44.5700988199043
"N18-1979",13.65,20.9769081610372,47.0900988199043
"N18-1980",16.95,22.1469081610372,44.1000988199044
"N18-1981",14.3,20.5619081610372,48.5650988199043
"N18-1982",16.15,23.6069081610372,44.0700988199044
"N18-1983",16.05,24.4119081610372,40.6650988199043
"N18-1984",14.75,24.3319081610372,39.7600988199043
"N18-1985",16.5,22.3469081610372,44.7700988199043
"N18-1986",14.5,23.3269081610372,44.7300988199043
"N18-1987",17.05,23.4569081610372,40.1500988199044
"N18-1988",17.25,21.7669081610372,46.0600988199043
"N18-1990",15.85,22.3819081610372,45.4500988199043
"N18-1991",19.45,20.4233333333334,47.976666666667
"N18-1992",19.45,22.3469081610372,46.1550988199043
"N18-1993",14.7,23.2319081610372,42.1200988199043
"N18-1994",15.9,23.1219081610372,43.0000988199043
"N18-1995",14.25,24.7669081610372,36.8100988199044
"N18-1996",15.65,22.7419081610372,43.5300988199043
"N18-1997",15.3,22.8019081610372,43.8450988199043
"N18-1998",15.15,22.8669081610372,41.0900988199043
"N18-1999",16.6,20.5169081610372,48.4800988199044
"N18-2000",15.5,24.6819081610372,38.8900988199044
"N18-2001",17.45,21.6269081610372,44.8550988199043
"N18-2002",17.1,23.2719081610372,41.3700988199043
"N18-2003",13.1,25.5019081610372,36.3850988199044
"N18-2004",15.2,22.6719081610372,44.7250988199043
"N18-2005",13.8,23.3969081610372,41.5150988199043
"N18-2006",16.2,23.0919081610372,45.3400988199043
"N18-2007",16.4,24.3619081610372,41.6250988199043
"N18-2008",13.8,24.2069081610372,37.8600988199044
"N18-2009",16.65,23.2019081610372,42.9950988199043
"N18-2011",16.95,21.9669081610372,45.9850988199043
"N18-2012",14.2,21.8169081610372,44.7850988199043
"N18-2013",14.7,25.5319081610372,36.1550988199044
"N18-2014",15.25,23.4819081610372,41.7850988199043
"N18-2015",14.7,22.2169081610372,43.6750988199043
