"Genotype","Hundred.Seed.Weight","Oil.Dry.basis","Protein.Dry.basis"
"LMN09-119",17.424999999999,20.0274999999989,49.5200000000011
"N09-09",16.8499999999987,21.0525,46.7075
"N18-1559",12.2999999999987,20.835,45.445
"N18-1560",11.2499999999987,23.29,35.605
"N18-1561",15.2999999999987,21.825,44.5
"N18-1562",16.3999999999987,22.605,43.245
"N18-1563",11.7999999999987,22.215,43.255
"N18-1564",15.8999999999987,22.78,42.64
"N18-1565",14.1999999999987,22.61,42.875
"N18-1567",10.8499999999987,23.255,37.18
"N18-1568",12.5499999999987,23.175,41.335
"N18-1569",14.0999999999987,21.395,44.235
"N18-1570",14.3999999999987,21.28,45.66
"N18-1571",13.3499999999987,21.61,42.08
"N18-1572",16.5999999999987,22.665,44.275
"N18-1575",17.9999999999987,21.315,47.895
"N18-1576",14.2999999999987,22.56,42.49
"N18-1577",14.7999999999987,20.99,47.125
"N18-1578",14.3499999999987,20.475,45.905
"N18-1579",15.5499999999987,22.19,43.925
"N18-1580",15.3499999999987,22.335,41.735
"N18-1581",15.2999999999987,21.72,41.695
"N18-1582",15.1499999999987,20.93,45.24
"N18-1585",15.0499999999987,23.07,41.06
"N18-1586",14.0499999999987,21.575,45.75
"N18-1587",14.5499999999987,21.075,44.515
"N18-1588",16.0999999999987,22.035,43.3
"N18-1596",15.0499999999987,21.865,42.11
"N18-1597",15.7499999999987,23.02,43.24
"N18-1598",15.5499999999987,22.27,43.325
"N18-1600",11.6999999999987,22.475,41.41
"N18-1602",15.3999999999987,21.3,44.77
"N18-1603",12.0999999999987,23.07,38.815
"N18-1604",16.3499999999987,22.78,43.745
"N18-1605",14.0499999999987,23.805,39.3
"N18-1606",14.6499999999987,22.285,42.19
"N18-1607",12.4999999999987,21.565,44.24
"N18-1608",14.3499999999987,21.37,43.345
"N18-1609",13.2499999999987,24.755,38.975
"N18-1610",15.2999999999987,22.345,42.925
"N18-1611",12.4999999999987,22.99,39.475
"N18-1612",12.3499999999987,23.58,39.39
"N18-1613",16.6499999999987,20.36,45.74
"N18-1614",14.1999999999987,20.6,45.98
"N18-1615",17.2999999999987,22.65,44.12
"N18-1616",12.6999999999987,23.075,39.28
"N18-1617",14.3999999999987,21.07,44.99
"N18-1619",16.3999999999987,20.9,44.36
"N18-1620",14.6499999999987,22.655,42.765
"N18-1621",14.0999999999987,20.225,45.655
"N18-1622",15.4499999999987,22.155,42.655
"N18-1623",12.8499999999987,22.675,39.81
"N18-1624",11.6999999999987,23.67,39.395
"N18-1626",15.7999999999987,19.625,48.98
"N18-1627",16.4499999999987,21.745,44.72
"N18-1628",14.4999999999987,20.37,49.21
"N18-1629",16.7999999999987,20.69,46.09
"N18-1630",16.7999999999987,20.245,46.77
"N18-1631",14.3499999999987,22.62,41.93
"N18-1632",15.2499999999987,22.515,44.945
"N18-1633",16.5999999999987,21.7199962704425,43.75
"N18-1634",15.2499999999987,23.905,38.82
"N18-1635",16.2499999999987,22.745,43.3
"N18-1636",15.0499999999987,21.665,45.155
"N18-1637",11.6999999999987,24.235,34.2
"N18-1638",12.5999999999987,22.965,38.59
"N18-1639",15.7999999999987,21.51,44.775
"N18-1640",13.1499999999987,22.21,41.48
"N18-1641",15.3499999999987,22.685,42.95
"N18-1642",16.5499999999987,22.015,43.725
"N18-1643",15.0999999999987,22.62,42.865
"N18-1644",11.3999999999987,23.405,38.585
"N18-1645",13.8999999999987,20.81,45.865
"N18-1646",14.5999999999987,21.16,43.615
"N18-1647",16.3499999999987,20.84,43.395
"N18-1649",16.7999999999987,19.87,46.2
"N18-1650",14.3999999999987,21.51,43.945
"N18-1651",12.3999999999987,23.42,38.36
"N18-1652",11.2999999999987,21.97,40.61
"N18-1655",14.9499999999987,19.885,48.26
"N18-1656",14.0499999999987,21.035,42.85
"N18-1658",11.1999999999987,20.83,43.05
"N18-1659",14.4499999999987,20.53,47.985
"N18-1661",14.5499999999987,22.85,43.055
"N18-1663",16.0499999999987,20.39,46.465
"N18-1664",13.0999999999987,20.85,44.73
"N18-1665",14.8999999999987,22.525,42.78
"N18-1666",12.8499999999987,22.83,42.43
"N18-1667",15.2999999999987,23.595,39.675
"N18-1668",14.7499999999987,20.225,46.97
"N18-1669",15.5999999999987,22.055,43.015
"N18-1671",15.9499999999987,21.62,46.015
"N18-1672",13.2999999999987,23.165,39.895
"N18-1673",10.9499999999987,23.565,39.635
"N18-1674",15.1499999999987,22.35,44.205
"N18-1675",15.6499999999987,20.375,46.675
"N18-1676",13.3999999999987,19.98,46.44
"N18-1677",15.2499999999987,22.155,45.235
"N18-1678",13.6999999999987,22.05,41.745
"N18-1679",17.8999999999987,21.93,45.225
"N18-1680",11.7999999999987,23.565,40.03
"N18-1681",16.3999999999987,21.09,44.735
"N18-1684",15.6999999999987,22.51,43.485
"N18-1685",12.4999999999987,25.21,35.875
"N18-1686",14.9499999999987,22.91,42.425
"N18-1687",17.6999999999987,21.165,44.42
"N18-1688",15.5999999999987,21.82,44.7
"N18-1689",12.7499999999987,21.91,42.745
"N18-1690",14.6499999999987,22.315,41.26
"N18-1691",15.9999999999987,22.14,43.095
"N18-1693",15.1999999999987,20.895,44.325
"N18-1694",15.6999999999987,22.225,42.405
"N18-1695",11.0999999999987,23.57,37.635
"N18-1696",15.9999999999987,22.35,43.045
"N18-1697",13.0499999999987,22.29,40.455
"N18-1698",14.8999999999987,20.235,46.795
"N18-1699",15.0999999999987,21.14,46.425
"N18-1700",14.4499999999987,23.255,42.105
"N18-1701",14.7999999999987,21.07,47.665
"N18-1703",13.3499999999987,23.48,41.36
"N18-1704",14.0999999999987,20.065,46.565
"N18-1705",13.3999999999987,21.975,43.28
"N18-1706",16.9999999999987,23.95,39.03
"N18-1707",15.6499999999987,21.64,44.6
"N18-1708",15.2499999999987,22.055,43.405
"N18-1709",14.5499999999987,21.615,43.435
"N18-1710",13.4499999999987,22.49,39.725
"N18-1711",13.8999999999987,22.01,44.1
"N18-1714",15.1499999999987,24.2,36.905
"N18-1715",14.8499999999987,23.65,41.755
"N18-1716",17.4499999999987,20.59,44.91
"N18-1718",14.6499999999987,21.935,42.435
"N18-1719",13.8499999999987,21.375,46.04
"N18-1720",14.6999999999987,22.765,40.64
"N18-1722",14.2999999999987,22.16,42.98
"N18-1723",15.0499999999987,20.615,45.47
"N18-1724",14.0999999999987,21.415,44.625
"N18-1725",14.3999999999987,24.43,38.52
"N18-1726",12.8999999999987,22.735,44.2
"N18-1727",14.0999999999987,21.285,44.09
"N18-1729",16.2499999999987,19.99,48.68
"N18-1730",15.2499999999987,22.175,42.71
"N18-1731",17.3999999999987,22.44,44.19
"N18-1732",17.8999999999987,22.755,43.86
"N18-1733",13.1999999999987,22.495,42.385
"N18-1734",14.1999999999987,21.71,43.68
"N18-1735",11.7999999999987,23.925,38.04
"N18-1736",15.6999999999987,21.425,45.71
"N18-1737",14.7999999999987,20.505,46.72
"N18-1738",12.5999999999987,22.91,39.57
"N18-1741",14.3499999999987,21.135,44.52
"N18-1745",15.5999999999987,21.65,44.745
"N18-1748",14.4499999999987,20.85,45.545
"N18-1749",11.4499999999987,23.815,35.845
"N18-1751",16.1999999999987,22.17,43.655
"N18-1752",12.6499999999987,22.64,38.775
"N18-1753",18.0999999999987,22.785,44.195
"N18-1755",13.4499999999987,23.075,41.255
"N18-1756",13.1999999999987,20.945,44.6
"N18-1757",13.3499999999987,22.64,40.96
"N18-1758",16.9499999999987,21.735,45.49
"N18-1759",11.1499999999987,23.48,38.355
"N18-1760",17.4499999999987,19.27,48.57
"N18-1761",14.7499999999987,20.57,48.38
"N18-1762",14.6499999999987,22.65,42.525
"N18-1763",14.0499999999987,20.87,46.82
"N18-1764",14.1499999999987,20.245,47.08
